id,WELL,DEPTH,SP,GR,AC,label
10927,2,2585.75,61.62,173.59,238.21,2
32581,298,1685.25,35.33,76.06,286.73,0
3492,2,1656.38,58.87,156.76,343.31,2
30786,146,2792.17,57.81,153.39,215.38,2
22806,146,1373.33,52.85,106.03,280.99,0
13850,2,2951.13,62.14,171.77,246.32,2
24158,146,1613.81,38.3,85.08,270.23,1
36500,298,2256.62,50.99,127.73,323.21,2
341,2,1262.5,59.36,147.39,372.11,2
6409,2,2021.0,66.26,133.03,249.96,2
8499,2,2282.25,74.43,182.33,282.8,2
22409,146,1302.77,50.61,102.31,272.37,0
1706,2,1433.13,60.11,163.25,383.23,2
36076,298,2194.62,47.74,141.14,321.64,2
2334,2,1511.63,60.62,151.63,364.22,2
3755,2,1689.25,60.23,102.19,278.51,0
23482,146,1493.72,37.71,135.1,288.76,1
14783,2,3067.75,59.54,164.88,233.56,0
20561,146,974.34,50.04,107.54,364.07,2
24416,146,1659.69,52.48,137.25,324.47,2
15709,2,3183.5,43.67,118.06,195.99,1
1905,2,1458.0,60.13,148.78,365.88,2
36613,298,2273.25,46.11,117.13,295.98,0
24383,146,1653.59,44.93,73.6,246.32,1
23162,146,1436.73,53.56,115.19,297.45,2
7085,2,2105.5,43.15,80.91,244.45,0
13209,2,2871.0,61.5,136.2,218.25,0
1356,2,1389.38,62.51,131.49,360.54,2
18840,146,668.17,44.66,104.62,402.27,0
14882,2,3080.13,57.88,204.75,215.57,2
37922,2010,1606.25,46.87,149.02,326.67,2
15162,2,3115.13,59.35,170.0,221.32,2
1302,2,1382.63,35.52,84.52,310.5,0
7394,2,2144.13,70.0,124.7,243.39,0
13940,2,2962.38,60.38,149.0,210.17,0
33250,298,1782.62,44.12,95.72,252.36,0
37677,2010,1570.5,51.17,170.51,321.37,0
10103,2,2482.75,68.19,134.62,217.68,2
32314,298,1646.25,50.64,126.91,341.45,2
22939,146,1396.95,54.15,126.03,350.8,2
25132,146,1787.09,51.46,101.6,236.7,2
25024,146,1767.89,46.12,85.19,247.08,1
23613,146,1516.89,53.83,120.5,358.09,2
36713,298,2287.88,45.17,122.74,236.45,0
29185,146,2507.49,52.49,151.19,268.82,1
14033,2,2974.0,57.63,166.91,208.27,0
2988,2,1593.38,61.96,142.33,308.07,2
17425,146,416.26,52.8,84.01,437.46,1
31328,298,1502.25,49.32,88.31,275.27,2
15398,2,3144.63,59.03,202.81,212.06,2
6050,2,1976.13,62.62,143.27,328.43,0
28989,146,2472.74,45.48,117.49,216.84,1
1830,2,1448.63,60.08,145.41,338.07,2
28933,146,2462.83,20.96,84.51,256.74,1
21551,146,1150.21,51.66,106.7,368.42,2
12408,2,2770.88,61.57,194.91,262.06,2
12192,2,2743.88,60.08,208.35,233.33,2
26997,146,2118.72,48.5,99.41,250.1,2
30236,146,2694.48,48.06,142.96,210.89,1
3656,2,1676.88,61.08,148.36,309.07,2
13016,2,2846.88,61.17,159.98,262.09,2
25517,146,1855.37,37.21,94.53,253.28,1
1567,2,1415.75,61.06,127.26,331.73,0
22824,146,1376.53,44.76,95.35,284.63,2
23053,146,1417.22,51.17,79.05,260.95,0
30947,146,2820.98,476.4,10.0,213.05,1
3121,2,1610.0,60.17,144.48,327.98,2
11670,2,2678.63,57.46,198.74,263.53,2
27960,146,2289.86,48.95,97.09,210.38,1
14130,2,2986.13,61.95,178.96,244.38,2
14583,2,3042.75,59.71,160.85,225.93,2
33039,298,1751.88,45.39,101.81,275.12,2
20279,146,924.05,48.23,105.93,369.9,0
22512,146,1321.05,50.64,94.71,291.58,0
13870,2,2953.63,62.36,178.76,247.83,2
19823,146,842.82,47.22,107.23,349.11,0
13610,2,2921.13,61.46,159.81,234.09,2
18807,146,662.23,45.31,119.39,421.09,0
1228,2,1373.38,60.54,147.35,313.56,2
22157,146,1257.96,52.99,128.59,379.93,2
35264,298,2076.5,50.85,116.95,280.69,2
1948,2,1463.38,59.46,186.59,358.51,2
4024,2,1722.88,54.66,107.59,267.77,0
20113,146,894.49,49.92,125.58,360.41,2
33701,298,1848.62,49.15,125.94,323.06,2
28602,146,2404.01,50.42,174.13,233.08,2
9559,2,2414.75,72.23,188.47,299.02,2
34832,298,2013.25,46.84,159.7,304.68,2
30836,146,2801.16,53.6,135.3,207.58,1
38114,2010,1634.25,47.69,109.66,252.99,0
8821,2,2322.5,68.86,85.13,243.83,0
29015,146,2477.31,52.32,176.41,321.08,2
11771,2,2691.25,60.84,182.03,247.06,2
12208,2,2745.88,58.59,139.93,195.55,0
13249,2,2876.0,62.17,169.48,249.21,2
29782,146,2613.71,52.27,138.3,260.8,2
22487,146,1316.64,52.37,143.43,271.55,2
5892,2,1956.38,63.79,132.27,252.68,0
8735,2,2311.75,75.09,158.29,270.27,0
10837,2,2574.5,66.16,168.45,277.02,2
16571,2,3291.25,58.8,152.5,218.61,2
2053,2,1476.5,60.04,146.12,345.57,2
30021,146,2656.23,50.87,160.25,249.16,2
14949,2,3088.5,57.81,163.29,229.15,2
37213,2010,1502.75,43.96,116.03,266.34,0
8644,2,2300.38,72.29,162.28,241.34,0
13770,2,2941.13,61.66,172.29,228.06,2
15655,2,3176.75,59.69,197.07,233.81,2
11078,2,2604.63,63.2,188.45,253.44,2
36420,298,2244.88,50.76,146.33,314.44,2
37303,2010,1516.0,43.14,115.48,279.77,2
26960,146,2112.16,50.21,107.91,249.47,2
3395,2,1644.25,61.4,146.56,308.32,2
16144,2,3237.88,57.34,135.77,214.4,0
13370,2,2891.13,61.52,155.54,233.18,2
11526,2,2660.63,62.84,209.03,219.79,2
4770,2,1816.13,62.3,197.78,357.42,2
6384,2,2017.88,61.82,131.38,247.79,0
33098,298,1760.38,48.43,112.19,299.85,2
31590,298,1540.75,45.89,126.11,275.39,2
12357,2,2764.5,62.59,169.98,239.05,2
22163,146,1259.03,52.93,117.15,329.89,2
36385,298,2239.75,40.38,114.05,259.46,1
27067,146,2131.06,41.22,90.14,253.82,1
16177,2,3242.0,59.6,154.07,229.86,2
2776,2,1566.88,61.37,108.63,271.79,0
5735,2,1936.75,58.54,158.43,313.57,2
20702,146,999.34,49.7,122.23,317.76,0
